DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
EB2005_5952_04L0041,53607,,Splash,02:00:00 03-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 03-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 03-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 05-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 05-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 06-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 06-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 06-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 06-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 07-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 07-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 07-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 07-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 08-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 08-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 09-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 09-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 10-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 10-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 10-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 10-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 11-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 11-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 12-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 15-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 16-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 17-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 17-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 17-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 18-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 18-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 19-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 19-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 20-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 20-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 21-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 21-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 21-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 22-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,08:00:00 22-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,14:00:00 22-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 23-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,20:00:00 23-Nov-2005,,,,0.000000,0.000000,Status,,,
EB2005_5952_04L0041,53607,,Splash,02:00:00 24-Nov-2005,,,,0.000000,0.000000,Status,,,
