DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
PV2015_1008_14U0371,143961,UT,20:37:20 30-Nov-2015,Argos,B,53.7277,-166.5863,5071,253961,101,84,,,,,,
PV2015_1008_14U0371,143961,UT,22:00:46 30-Nov-2015,Argos,B,53.7293,-166.4920,2741,13638,550,81,,,,,,
PV2015_1008_14U0371,143961,UT,04:13:47 03-Dec-2015,Argos,B,53.8519,-166.4226,6956,314569,153,90,,,,,,
PV2015_1008_14U0371,143961,UT,15:46:45 10-Jan-2016,Argos,A,53.7302,-166.5495,181,391,83,78,,,,,,
PV2015_1008_14U0371,143961,UT,16:11:33 10-Jan-2016,Argos,1,53.7521,-166.5069,790,2139,291,69,,,,,,
PV2015_1008_14U0371,143961,UT,17:05:16 10-Jan-2016,Argos,1,53.7466,-166.5268,1047,8033,136,87,,,,,,
PV2015_1008_14U0371,143961,UT,17:24:17 10-Jan-2016,Argos,B,53.7561,-166.5108,490,5190,46,90,,,,,,
PV2015_1008_14U0371,143961,UT,17:52:27 10-Jan-2016,Argos,1,53.7585,-166.4838,1072,5991,191,102,,,,,,
PV2015_1008_14U0371,143961,UT,18:45:14 10-Jan-2016,Argos,B,53.7459,-166.4944,3570,31842,400,101,,,,,,
PV2015_1008_14U0371,143961,UT,19:56:19 10-Jan-2016,Argos,1,53.7566,-166.5102,972,4768,198,74,,,,,,
PV2015_1008_14U0371,143961,UT,21:28:41 10-Jan-2016,Argos,1,53.7683,-166.5273,1482,8968,244,100,,,,,,
PV2015_1008_14U0371,143961,UT,22:25:53 10-Jan-2016,Argos,1,53.7668,-166.5284,669,1178,379,107,,,,,,
PV2015_1008_14U0371,143961,UT,22:40:48 10-Jan-2016,Argos,B,53.7669,-166.5262,2427,5180,1136,114,,,,,,
PV2015_1008_14U0371,143961,UT,02:02:32 11-Jan-2016,Argos,A,53.7580,-166.5246,264,520,133,49,,,,,,
PV2015_1008_14U0371,143961,UT,02:05:21 11-Jan-2016,Argos,1,53.7623,-166.5241,1489,3351,661,99,,,,,,
