DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
PV2016_3021_15A0891,164825,Mk10,DS,2,0,0,93,93,04:04:45 06-Dec-2016,NK,B,52.7506,173.9153,52.7506,173.9153,8,,401677150,-133
PV2016_3021_15A0891,164825,Mk10,DS,6,0,0,93,93,05:27:41 06-Dec-2016,NN,3,52.7519,173.9128,52.7519,173.9128,58,,401677150,-127
PV2016_3021_15A0891,164825,Mk10,DS,2,0,2,168,168,05:45:56 06-Dec-2016,NK,B,52.7632,173.9074,52.7582,173.9068,6,,401677147,-128
PV2016_3021_15A0891,164825,Mk10,DS,2,0,0,335,335,06:43:06 06-Dec-2016,SR,B,52.7515,173.8961,52.7515,173.8961,7,,401677171,-124
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,06:56:52 06-Dec-2016,MA,B,52.7522,173.9036,52.7522,173.9036,6,,401677168,-130
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,08:23:30 06-Dec-2016,SR,B,52.7540,173.8967,52.7540,173.8967,6,,401677215,-125
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,08:35:38 06-Dec-2016,MA,B,52.7516,173.9025,52.7516,173.9025,6,,401677214,-115
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,09:23:49 06-Dec-2016,MB,B,52.7572,173.8916,52.7572,173.8916,8,,401677217,-132
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,14:49:46 06-Dec-2016,SR,B,52.8035,173.7595,52.8035,173.7595,8,,401677235,-137
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,15:25:03 06-Dec-2016,NP,B,52.8056,173.7403,52.8056,173.7403,8,,401677227,-132
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,16:24:28 06-Dec-2016,SR,B,52.7487,173.7146,52.7487,173.7146,8,,401677202,-132
PV2016_3021_15A0891,164825,Mk10,DS,2,0,0,348,348,17:06:24 06-Dec-2016,NP,B,52.7182,173.6668,52.7182,173.6668,6,,401677236,-130
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,17:40:17 06-Dec-2016,NN,B,52.6870,173.6445,52.6870,173.6445,8,,401677221,-133
PV2016_3021_15A0891,164825,Mk10,DS,2,0,1,317,317,17:51:59 06-Dec-2016,NK,B,52.6782,173.5806,52.6782,173.5806,6,,401677223,-133
PV2016_3021_15A0891,164825,Mk10,DS,2,0,1,364,364,18:06:24 06-Dec-2016,SR,B,52.6871,173.5819,52.6871,173.5819,6,,401677224,-119
PV2016_3021_15A0891,164825,Mk10,DS,2,0,0,358,358,19:20:34 06-Dec-2016,NN,B,52.6675,173.5402,52.6675,173.5402,8,,401677218,-127
PV2016_3021_15A0891,164825,Mk10,DS,3,0,2,387,379,19:32:56 06-Dec-2016,NK,A,52.7184,173.4307,52.7184,173.4307,6,,401677225,-124
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,19:45:40 06-Dec-2016,SR,B,52.6737,173.5342,52.6737,173.5342,6,,401677234,-130
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,21:01:27 06-Dec-2016,NN,B,52.6436,173.4695,52.6436,173.4695,8,,401677228,-128
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,21:07:44 06-Dec-2016,NK,B,52.6554,173.4934,52.6554,173.4934,6,,401677238,-133
PV2016_3021_15A0891,164825,Mk10,DS,2,0,0,439,439,22:23:24 06-Dec-2016,MA,B,52.6958,173.3042,52.6958,173.3042,8,,401677219,-123
PV2016_3021_15A0891,164825,Mk10,DS,2,0,1,298,298,01:18:52 07-Dec-2016,NP,B,52.7325,173.3304,52.7325,173.3304,8,,401677219,-129
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,02:57:21 07-Dec-2016,NP,B,52.7289,173.2490,52.7289,173.2490,8,,401677223,-133
PV2016_3021_15A0891,164825,Mk10,DS,3,0,1,104,58,04:42:11 07-Dec-2016,NP,A,52.8144,173.1987,52.8144,173.1987,8,,401677233,-132
PV2016_3021_15A0891,164825,Mk10,DS,3,0,1,301,277,05:10:34 07-Dec-2016,NN,A,52.8425,173.2252,52.8425,173.2252,6,,401677222,-133
PV2016_3021_15A0891,164825,Mk10,DS,2,0,1,325,325,05:20:37 07-Dec-2016,NK,B,52.8410,173.2213,52.8410,173.2213,6,,401677220,-124
PV2016_3021_15A0891,164825,Mk10,DS,2,0,0,364,364,06:10:17 07-Dec-2016,SR,B,52.8523,173.2036,52.8523,173.2036,8,,401677220,-127
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,06:35:28 07-Dec-2016,MA,B,52.8496,173.2039,52.8496,173.2039,6,,401677212,-126
PV2016_3021_15A0891,164825,Mk10,DS,2,0,0,419,419,07:00:03 07-Dec-2016,NN,B,52.8742,173.1648,52.8742,173.1648,8,,401677206,-128
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,07:00:03 07-Dec-2016,NK,B,52.8524,173.1383,52.8524,173.1383,8,,401677202,-128
PV2016_3021_15A0891,164825,Mk10,DS,6,0,1,89,56,08:12:18 07-Dec-2016,MA,3,52.8418,173.2039,52.8418,173.2039,58,,401677217,-118
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,08:36:58 07-Dec-2016,NN,B,52.8418,173.2038,52.8418,173.2038,6,,401677218,-135
PV2016_3021_15A0891,164825,Mk10,DS,2,0,2,220,220,09:11:14 07-Dec-2016,MB,B,52.8363,173.2035,52.8363,173.2035,8,,401677220,-131
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,09:29:00 07-Dec-2016,SR,B,52.8348,173.1887,52.8348,173.1887,6,,401677226,-135
PV2016_3021_15A0891,164825,Mk10,DS,1,0,0,,,09:49:42 07-Dec-2016,MA,B,52.8337,173.1900,52.8337,173.1900,6,,401677220,-129
PV2016_3021_15A0891,164825,Mk10,DS,3,0,0,248,231,15:13:53 07-Dec-2016,NP,A,52.8447,173.2153,52.8447,173.2153,8,,401677238,-129
PV2016_3021_15A0891,164825,Mk10,DS,2,0,1,311,311,15:55:04 07-Dec-2016,SR,B,52.8470,173.2100,52.8470,173.2100,8,,401677222,-131
PV2016_3021_15A0891,164825,Mk10,DS,2,0,0,333,333,16:54:52 07-Dec-2016,NP,B,52.8432,173.2242,52.8432,173.2242,8,,401677223,-134
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,17:37:49 07-Dec-2016,SR,B,52.8443,173.2252,52.8443,173.2252,8,,401677216,-132
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,18:36:50 07-Dec-2016,NP,B,52.8435,173.2166,52.8435,173.2166,8,,401677220,-133
PV2016_3021_15A0891,164825,Mk10,DS,8,0,2,97,52,19:06:04 07-Dec-2016,NK,2,52.8397,173.1984,52.8397,173.1984,56,,401677219,-127
PV2016_3021_15A0891,164825,Mk10,DS,9,0,3,79,48,19:07:47 07-Dec-2016,NN,3,52.8386,173.2010,52.8386,173.2010,56,,401677218,-135
PV2016_3021_15A0891,164825,Mk10,DS,6,0,1,95,50,19:12:29 07-Dec-2016,SR,3,52.8399,173.1946,52.8399,173.1946,56,,401677220,-127
PV2016_3021_15A0891,164825,Mk10,DS,3,0,0,315,175,22:04:57 07-Dec-2016,MA,A,52.8428,173.2115,52.8428,173.2115,8,,401677216,-122
PV2016_3021_15A0891,164825,Mk10,DS,3,0,0,111,48,01:06:34 08-Dec-2016,NP,A,52.8321,173.1978,52.8321,173.1978,8,,401677213,-134
PV2016_3021_15A0891,164825,Mk10,DS,1,0,1,,,01:23:02 08-Dec-2016,MA,B,52.8349,173.2063,52.8349,173.2063,6,,401677209,-127
